OBJECTID;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84;STRZUSTAND
236586;5;3;15;0;2019;3;19;4;2;6;4;2;0;1;1;0;0;0;352365,7471;5647174,991;6,897870821;50,95725147;1
236587;5;3;15;0;2019;3;16;4;3;2;6;0;0;1;0;0;0;0;355947,9284;5640480,596;6,951486452;50,89799655;1
236588;5;3;15;0;2019;3;19;4;3;6;4;2;0;0;1;1;0;0;355317,5144;5641274,79;6,942213014;50,90497624;1
236677;5;3;15;0;2019;3;11;5;3;6;7;0;0;1;1;0;0;0;363462,0564;5638686,382;7,058945418;50,88369665;0
236678;5;3;15;0;2019;3;16;5;3;9;1;0;0;1;0;0;0;1;364474,9504;5648296,413;7,069763858;50,97030543;0
236679;5;3;15;0;2019;3;12;5;3;6;4;0;0;1;1;0;0;0;357491,8992;5647067,056;6,970853317;50,95757198;0
236680;5;3;15;0;2019;3;13;5;3;1;5;0;0;1;0;0;0;0;354191,8991;5656125,454;6,920260555;51,03815051;0
236681;5;3;15;0;2019;3;13;5;3;7;7;0;0;1;0;0;0;1;352268,9597;5644745,979;6,897478996;50,9353983;0
236682;5;3;15;0;2019;3;11;5;3;0;1;0;1;0;0;0;0;0;355260,4861;5642033,846;6,941101451;50,91178346;0
236683;5;3;15;0;2019;3;8;5;3;2;7;0;0;1;0;1;0;0;356564,4811;5644410,863;6,958703021;50,93347102;0
236751;5;3;15;0;2019;3;13;4;3;9;7;0;0;1;0;0;0;0;359024,5241;5644981,857;6,993468967;50,93920916;0
236752;5;3;15;0;2019;3;8;4;3;6;4;0;0;1;1;0;0;0;359377,7483;5645122,021;6,99843909;50,94055507;0
236753;5;3;15;0;2019;3;17;4;3;5;3;0;1;1;0;0;0;0;351223,6062;5650488,789;6,880264282;50,98673681;0
236754;5;3;15;0;2019;3;7;4;3;4;3;0;1;0;0;0;0;0;352405,726;5645211,174;6,899235631;50,93961382;0
236755;5;3;15;0;2019;3;13;4;3;2;6;0;0;1;0;0;0;0;356731,5574;5642041,855;6,962009859;50,91222246;0
236756;5;3;15;0;2019;3;12;4;3;5;2;0;0;0;0;0;1;1;355266,1535;5641780,306;6,94128257;50,90950636;0
236757;5;3;15;0;2019;3;21;4;3;6;7;2;1;0;1;0;0;0;354901,6319;5645222,033;6,934731578;50,94034486;0
236758;5;3;15;0;2019;3;16;4;3;5;2;0;1;1;0;0;0;0;356497,52;5643639,009;6,95805457;50,9265178;0
236806;5;3;15;0;2019;3;18;3;3;6;4;1;0;1;1;0;0;0;364475,9909;5639253,654;7,073140617;50,88903378;0
236807;5;3;15;0;2019;3;14;3;3;5;2;0;1;1;0;0;0;0;363665,4005;5638900,049;7,061754727;50,88566501;0
236808;5;3;15;0;2019;3;9;3;2;6;2;0;0;1;1;0;0;0;364892,5483;5648470,123;7,075643431;50,97196475;0
236809;5;3;15;0;2019;3;8;3;3;5;3;0;1;1;0;0;0;0;362977,7784;5648619,082;7,048331739;50,97285114;0
236810;5;3;15;0;2019;3;20;3;3;0;3;2;1;0;0;0;0;0;356836,872;5647474,339;6,96137258;50,96106981;0
236811;5;3;15;0;2019;3;13;3;3;6;4;0;0;0;1;0;0;1;352465,707;5654785,729;6,896201999;51,02567062;0
236812;5;3;15;0;2019;3;7;3;3;5;2;0;1;1;0;0;0;0;351728,7033;5644783,037;6,889780508;50,93559268;0
236813;5;3;15;0;2019;3;12;3;3;0;1;0;1;0;0;0;0;0;354206,2999;5642614,724;6,925884155;50,91673834;0
236814;5;3;15;0;2019;3;12;3;3;0;1;0;1;0;0;0;0;0;353864,9581;5642360,141;6,921133487;50,91436414;0
236815;5;3;15;0;2019;3;16;3;3;0;7;0;1;0;0;0;0;0;355934,9737;5642918,091;6,950340179;50,9198988;0
236876;5;3;15;0;2019;3;3;2;2;8;7;2;0;1;0;0;0;0;361590,8707;5646840,638;7,029266455;50,95653623;1
236877;5;3;15;0;2019;3;11;2;3;2;6;0;0;1;0;0;0;0;356332,6414;5646984,877;6,954390502;50,9565456;0
236878;5;3;15;0;2019;3;12;2;3;2;6;0;0;1;0;0;0;0;355909,0662;5642856,447;6,949996189;50,91933834;1
236913;5;3;15;0;2019;3;0;3;3;8;7;2;0;1;0;0;0;0;354938,4861;5646356,236;6,934804031;50,95054692;0
236914;5;3;15;0;2019;3;18;3;3;5;3;0;0;1;0;1;0;0;352494,504;5644627,224;6,900734724;50,93438883;0
236915;5;3;15;0;2019;3;8;3;3;5;3;0;1;1;0;0;0;0;351497,1225;5646098,034;6,885950952;50,94735026;0
236916;5;3;15;0;2019;3;7;3;2;5;3;0;1;0;0;0;1;0;354527,4858;5644204,973;6,929815868;50,93111056;0
