OBJECTID;UIDENTSTLAE;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84;STRZUSTAND
207351;5,20052E+18;5;3;15;0;2020;5;17;6;3;5;3;0;1;0;0;0;0;0;354414,2475;5641623,431;6,929235935;50,90788233;0
207352;5,20052E+18;5;3;15;0;2020;5;22;6;3;6;2;2;0;1;1;0;0;0;356451,2208;5645892,753;6,956508355;50,9467604;1
207378;5,20052E+18;5;3;15;0;2020;5;19;1;3;1;3;0;1;1;0;0;0;0;355386,066;5647250,914;6,940816246;50,95869965;1
207381;5,20052E+18;5;3;15;0;2020;5;15;1;3;1;5;0;1;1;0;0;0;0;354265,4738;5643518,523;6,926364253;50,92487549;0
207433;5,20052E+18;5;3;15;0;2020;5;18;5;2;0;1;0;1;0;0;0;0;0;361345,7689;5636006,388;7,029894658;50,85910654;0
207435;5,20052E+18;5;3;15;0;2020;5;12;5;3;3;6;0;1;1;0;0;0;0;362769,454;5637014,232;7,049732888;50,86850415;0
207437;5,20052E+18;5;3;15;0;2020;5;14;5;3;5;3;0;1;1;0;0;0;0;357613,2954;5647506,798;6,972408639;50,96155391;0
207440;5,20052E+18;5;3;15;0;2020;5;19;5;3;5;3;0;1;1;0;0;0;0;354479,2789;5645362,218;6,928668182;50,94149824;0
207442;5,20052E+18;5;3;15;0;2020;5;19;5;3;5;3;0;1;1;0;0;0;0;355132,0725;5645922,334;6,937730773;50,94669624;0
207444;5,20052E+18;5;3;15;0;2020;5;12;5;3;0;7;0;1;0;0;0;0;0;355785,7461;5648738,185;6,945913858;50,97216558;0
207519;5,20052E+18;5;3;15;0;2020;5;23;7;3;1;5;2;0;1;0;0;0;0;366149,9563;5648384,006;7,093573933;50,97148436;0
207526;5,20052E+18;5;3;15;0;2020;5;20;4;3;6;4;0;0;1;1;0;0;0;363657,901;5644493,475;7,059558333;50,93593405;0
207527;5,20052E+18;5;3;15;0;2020;5;11;4;3;6;2;0;0;1;1;0;0;0;362213,8507;5651283,098;7,036447459;50,99661104;0
207534;5,20053E+18;5;3;15;0;2020;5;10;5;3;0;1;0;1;0;0;0;0;0;353007,5372;5641349,815;6,909351703;50,90506696;0
207546;5,20053E+18;5;3;15;0;2020;5;12;4;3;5;2;0;1;1;0;0;0;0;362339,907;5648507,897;7,039294021;50,97169978;0
207557;5,20053E+18;5;3;15;0;2020;5;14;3;3;6;6;0;0;1;1;0;0;0;363724,1413;5639349,675;7,062421636;50,88971989;0
207558;5,20053E+18;5;3;15;0;2020;5;12;4;3;0;7;0;1;0;0;0;0;0;352335,9965;5645968,742;6,897936754;50,94640387;0
