OBJECTID,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstige,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,USTRZUSTAND,UIDENTSTLAE,Participants
246262,5,3,15,0,2019,August,14,Dienstag,Unfall mit Leichtverletzten,Zusammenstoß mit einbiegendem / kreuzendem Fahrzeug,Sonstiger Unfall,Tageslicht,0,1,0,1,0,0,"357405,5023","5637337,972",6.97342628,50.8701154,trocken,,"Krad, PKW"
246263,5,3,15,0,2019,August,14,Dienstag,Unfall mit Leichtverletzten,Unfall anderer Art,Abbiegeunfall,Tageslicht,1,1,0,1,0,0,"355709,994","5640052,265",6.948274406,50.89408778,nass/feucht,,"Rad, Krad, PKW"
246264,5,3,15,0,2019,August,15,Dienstag,Unfall mit Leichtverletzten,Unfall anderer Art,Fahrunfall,Tageslicht,0,0,0,1,0,0,"356743,306","5644726,984",6.961121967,50.93635642,nass/feucht,,Krad
246265,5,3,15,0,2019,August,14,Dienstag,Unfall mit Leichtverletzten,Unfall anderer Art,Fahrunfall,Tageslicht,1,0,0,0,0,0,"356115,0374","5643656,786",6.952608789,50.92658229,nass/feucht,,Rad
246266,5,3,15,0,2019,August,10,Dienstag,Unfall mit Leichtverletzten,Zusammenstoß mit anfahrendem/ anhaltendem/ruhendem Fahrzeug,Unfall durch ruhenden Verkehr,Tageslicht,0,1,0,0,0,0,"357271,7712","5646698,029",6.967865767,50.95420108,trocken,,PKW
246267,5,3,15,0,2019,August,16,Dienstag,Unfall mit Leichtverletzten,Zusammenstoß mit anfahrendem/ anhaltendem/ruhendem Fahrzeug,Unfall durch ruhenden Verkehr,Tageslicht,1,1,0,0,0,0,"356111,6552","5644968,578",6.952042821,50.93837033,nass/feucht,,"Rad, PKW"
246312,5,3,15,0,2019,August,16,Montag,Unfall mit Leichtverletzten,Zusammenstoß mit vorausfahrendem / wartendem Fahrzeug,Unfall im Längsverkehr,Tageslicht,0,1,0,0,0,0,"358451,286","5645584,551",6.985081151,50.94448515,trocken,,PKW
246313,5,3,15,0,2019,August,15,Montag,Unfall mit Schwerverletzten,Unfall anderer Art,Einbiegen / Kreuzen-Unfall,Tageslicht,0,1,0,1,0,0,"361068,4512","5648842,725",7.021068126,50.97440365,trocken,,"Krad, PKW"
246314,5,3,15,0,2019,August,13,Montag,Unfall mit Leichtverletzten,Unfall anderer Art,Fahrunfall,Tageslicht,1,0,0,0,0,0,"358004,6074","5648362,907",6.977643056,50.96934429,trocken,,Rad
246315,5,3,15,0,2019,August,14,Montag,Unfall mit Leichtverletzten,Unfall anderer Art,Fahrunfall,Tageslicht,1,0,0,0,0,0,"353929,9501","5655280,275",6.916867573,51.03048878,trocken,,Rad
