OBJECTID,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstige,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,USTRZUSTAND,UIDENTSTLAE
98782,5,3,15,0,2019,2,19,4,3,6,2,2,0,1,1,0,0,0,"359227,13","5652985,714",6.993251849,51.01118953,0,
98786,5,3,15,0,2019,2,17,4,3,0,4,0,0,0,1,0,0,1,"351367,9753","5648134,264",6.883282283,50.96561541,1,
98787,5,3,15,0,2019,2,8,4,3,3,6,0,0,1,0,0,0,0,"353405,631","5643184,341",6.914272653,50.92165447,0,
98911,5,3,15,0,2019,2,0,7,2,1,7,2,0,1,0,0,0,0,"363317,3089","5646275,318",7.054045295,50.95186756,1,
98968,5,3,15,0,2019,2,15,3,3,6,2,0,0,1,1,0,0,0,"349740,678","5653465,897",6.857919465,51.01310458,1,
98972,5,3,15,0,2019,2,18,3,3,5,2,2,0,1,0,0,0,0,"357744,2857","5635009,047",6.979143144,50.84926855,1,
98973,5,3,15,0,2019,2,18,3,3,5,3,2,0,1,0,0,0,0,"354121,1092","5642240,709",6.924822598,50.91335564,0,
98974,5,3,15,0,2019,2,9,6,3,2,6,0,0,1,0,0,0,0,"363096,9415","5639266,035",7.053540898,50.88881987,1,
98975,5,3,15,0,2019,2,8,3,3,2,6,0,0,1,0,0,0,0,"354299,6328","5644202,818",6.926576477,50.93103368,1,
98976,5,3,15,0,2019,2,13,6,2,5,4,0,0,0,1,0,0,1,"355867,3607","5650212,714",6.946490866,50.98543724,1,
98977,5,3,15,0,2019,2,19,6,3,6,6,2,1,0,1,0,0,0,"353444,1115","5646594,891",6.913448023,50.9523136,1,
98979,5,3,15,0,2019,2,9,6,2,5,2,0,0,1,0,0,1,0,"348614,9562","5649899,781",6.843370054,50.98076381,1,
99133,5,3,15,0,2019,2,2,7,2,6,2,2,0,1,1,0,0,0,"360391,113","5648479,677",7.011565748,50.97097709,1,
99134,5,3,15,0,2019,2,12,7,3,1,5,0,1,1,0,0,0,0,"353971,7832","5646096,924",6.92115503,50.94797248,0,
99138,5,3,15,0,2019,2,12,7,3,6,6,0,1,0,1,0,0,0,"355383,7185","5644723,023",6.941786713,50.93598148,0,
99184,5,3,15,0,2019,2,16,4,3,0,6,0,0,1,0,0,0,0,"360690,0399","5652176,042",7.01440329,51.00426914,0,
99232,5,3,15,0,2019,2,18,7,2,2,6,2,0,1,0,0,0,0,"363834,0428","5646139,023",7.061448512,50.95076493,0,
99254,5,3,15,0,2019,2,6,3,3,0,3,1,1,0,0,0,0,1,"362966,6807","5645280,44",7.049430857,50.94284297,0,
99255,5,3,15,0,2019,2,10,3,2,0,7,0,0,1,0,0,0,1,"357909,9069","5644602,104",6.97776302,50.93552274,0,
99258,5,3,15,0,2019,2,14,3,3,2,6,0,0,1,0,0,0,0,"355236,0898","5651547,661",6.93697114,50.99727559,0,
99307,5,3,15,0,2019,2,14,6,3,2,6,0,0,1,0,0,0,0,"359722,2526","5647257,231",7.002516802,50.95982836,0,
99308,5,3,15,0,2019,2,18,6,3,3,6,2,1,0,0,0,0,1,"360085,346","5647264,362",7.007680977,50.95998073,0,
99309,5,3,15,0,2019,2,14,6,3,8,1,0,0,1,0,0,0,0,"364742,2108","5647182,101",7.073982363,50.96035341,0,
99310,5,3,15,0,2019,2,17,6,3,2,6,1,0,1,0,0,0,0,"348691,5004","5642950,611",6.84734734,50.91833718,0,
99311,5,3,15,0,2019,2,10,6,2,6,4,0,1,0,1,0,0,0,"354215,1965","5647145,913",6.924197741,50.957461,0,
99314,5,3,15,0,2019,2,18,6,3,6,4,0,1,0,1,0,0,0,"354152,8338","5645969,806",6.92378155,50.94687594,0,
99315,5,3,15,0,2019,2,15,6,3,2,6,0,0,1,0,0,0,0,"351533,803","5644413,405",6.88715925,50.93222084,0,
99336,5,3,15,0,2019,2,8,3,3,2,6,0,0,1,0,0,0,0,"362932,609","5644352,001",7.049295459,50.93449064,1,
99390,5,3,15,0,2019,2,14,2,3,2,6,0,0,1,0,0,0,0,"366713,265","5638526,836",7.105196186,50.88302189,1,
99391,5,3,15,0,2019,2,13,2,3,6,4,0,0,1,1,0,0,0,"365087,3223","5642928,611",7.080468949,50.92220593,1,
99394,5,3,15,0,2019,2,15,2,3,5,3,0,1,1,0,0,0,0,"357555,8982","5645067,697",6.972546092,50.93961968,1,
99396,5,3,15,0,2019,2,18,2,3,2,6,2,0,1,0,0,0,0,"348397,3611","5646697,272",6.841607185,50.95192829,0,
99397,5,3,15,0,2019,2,8,2,3,2,6,0,0,1,0,0,0,0,"355246,838","5646680,018",6.939062166,50.95353419,1,
99401,5,3,15,0,2019,2,15,6,3,2,6,0,0,1,0,0,0,1,"354335,7207","5653592,071",6.923328464,51.01542063,0,
99487,5,3,15,0,2019,2,7,5,3,2,6,1,0,1,0,0,0,0,"361521,3191","5640540,203",7.030670022,50.8998957,1,
99488,5,3,15,0,2019,2,8,5,3,5,2,0,0,1,0,0,0,1,"358337,14","5645557,788",6.983467789,50.9442166,1,
99492,5,3,15,0,2019,2,13,5,3,6,7,0,0,1,1,0,0,0,"357859,3408","5643933,362",6.977304643,50.9295003,0,
